,Unnamed: 0,title,description,price,rating,review,img5,categories
0,0,Samsung 190ltr Single Door Refrigerator RR19A210AGS -Silver,no description,30990,no rating,no review, https://cdn.sastodeal.com/catalog/product/n/e/new_project_7__5.jpg,Kitchen Appliences
1,1,Samsung 190 Liter Single Door Refrigerator RR20M282ZS8,no description,38490,no rating,no review, https://cdn.sastodeal.com/catalog/product/n/e/new_project_7__5.jpg,Kitchen Appliences
2,2,Whirlpool 200 IMPC Cls Grey Nep - 185 Litres Direct Cooling Single Door Refrigerator (Grey),"Up to 9 Hours of Cooling Retention
Auto Connect to Home Inverter
Large Vegetable Crisper
Wired Shelves
Auto Connect To Home Inverter
Removable Anti Bacterial Gasket
Stabilizer Free Operation
Door Lock
Door Handle
10 Years Compresser Warranty",28620,no rating,no review, https://cdn.sastodeal.com/catalog/product/n/e/new_project_7__5.jpg,Kitchen Appliences
3,3,Whirlpool 200 Genius CLS 2S Single Door Refrigerator - 185 ltrs,"Direct Cool Single Door: Economical requires manual defrosting
Capacity 185 L: Suitable for families with 2-3 members
Warranty: 1 year on product 5 years on compressor
Energy Rating: 3 Star
Shelf Type: Toughened Glass",27140,no rating,no review, https://cdn.sastodeal.com/catalog/product/n/e/new_project_7__5.jpg,Kitchen Appliences
4,4,Samsung 253 L Double Door Refrigerator RT28A3022GS/IM,"Works longer for less

Digital Inverter Technology
Enjoy greater energy efficiency less noise and long-lasting performance. The Digital Inverter Compressor automatically adjusts its speed in response to cooling demand. So it’s quieter uses up to 50% less power* and is certified to work for 21 years** backed up by a 10-year warranty***.







* Based on internal testing comparing energy consumption (ISO 15502) between Samsung conventional model RT43K6**5(6)** and RT54E****** Awarded a 21-year durability certification by the Association for Electrical Electronic & Information Technologies in Germany (Verband Deutscher Elektrotechniker – VDE). The actual lifespan may vary depending on the usage circumstances.*** 10-year warranty is limited to the compressor only.





Evenly cools all over

All-around Cooling
Make sure that all your food is properly cooled – wherever it is. All-around Cooling system cools each compartment evenly from corner to corner. It continually checks the temperature and circulates cool air through strategically placed vents. So every item of food stays fresher for longer.










Voltage protection

Stabilizer Free Operation
Protect the refrigerator from power fluctuations*. The Stabilizer Free Operation keeps it working steadily and reliably. If the voltage increases too much it automatically cuts the power to prevent electrical damage. The compressor even operates at 50°C. So you don’t need a separate stabilizer.







* Stabilizer Free Operation range: 100 ~ 300V.





Easily reach food

Easy Slide Shelf
Organize put in and take out food more easilyso there’s no ‘dead space’. The Easy Slide Shelf is built on rolling hinges and simply slides in and out. It means you can quickly find what you want and easily reach things at the back and in every corner without items getting squashed or broken.










All the ice you need

Movable Ice Maker
Make sure that you always have plenty of ice to stay cool when it’s warm. A simple twist of the Movable Ice Maker is all it takes to dispense a large quantity of ice. But when the seasons change and there’s not much need for ice you can easily remove it and create more space in the freezer.










Optimal humidity

MoistFresh Zone
Preserve the freshness and flavor of fruit and vegetables for longer. The MoistFresh Zone is a smartly designed drawer that creates the ideal environment for storing perishable food. It continually detects and adjusts the moisture level in the drawer to maintain the optimal humidity level.",55490,no rating,no review, https://cdn.sastodeal.com/catalog/product/n/e/new_project_7__5.jpg,Kitchen Appliences
5,5,Samsung 5-In-1 Smart Convertible Refrigerator 345Ltrs RT37M5535SL,no description,82490,no rating,no review, https://cdn.sastodeal.com/catalog/product/n/e/new_project_7__5.jpg,Kitchen Appliences
6,6,Wirlpool 265 L 2 Star Double Door Refrigerator (NEOFRESH 278LH PRM 2S Chromium Steel),no description,53760,no rating,no review, https://cdn.sastodeal.com/catalog/product/n/e/new_project_7__5.jpg,Kitchen Appliences
7,7,Whirlpool IF CNV 278Onyx Steel - 292 Litres Frost-Free Convertible Double Door Refrigerator,"Frost-free refrigerator; 265 litres capacity
Energy Rating: 3 Star
Warranty: 1 year on product 10 years on compressor
Convertible freezer with 5 in 1 modes - the convertible freezer comes with 5 in 1 modes. All season mode chef mode Dessert mode party mode and deep freeze mode
Adaptive intelligence technology:(AI) microprocessor and 3 intellisensors sense load weather conditions and usage patterns ensuring optimum cooling for long-lasting freshness
Intellisense inverter technology - auto-connect to home Inverter. It efficiently adapts the cooling according to internal load. It reduces energy consumption and ensures matchless performances
Fresh flow air tower with flexi vents: scientifically designed air tower and strategically placed vents L out cool and fresh air I different sections of the refrigerator",59490,no rating,no review, https://cdn.sastodeal.com/catalog/product/n/e/new_project_7__5.jpg,Kitchen Appliences
8,8,Samsung 345Ltrs 5-In-1 Smart Convertible Refrigerator RT37M5535SL,"GENERAL



COLOR
Silver


DEFROSTING TYPE
Frost Free


COMPRESSOR TYPE
Digital Inverter Compressor


STAR RATING
3 Star


TOUGHENED GLASS
Yes


OTHER GENERAL FEATURES
Twin Cooling Plus - Yes


Smart Conversion - 5 Mode


Power Cool Function - Yes


Power Freeze Function - Yes


No Frost - Yes


Multi Flow - Yes


Door Alarm - Yes


Refrigerant - R600a


Lock & Key - N/A


Cyclopentane Insulation - Yes


Compressor - Digital Inverter Compressor



PERFORMANCE FEATURES



AIR FLOW TYPE
Multi Flow


TEMPERATURE CONTROL
Yes


MOISTURE CONTROL
Yes



BODY & DESIGN FEATURES



SHELF MATERIAL
Glass


DISPLAY TYPE
LED


HANDEL TYPE
Recess


ADDITIONAL BODY & DESIGN FEATURES
Display & Control (Fridge and Freezer) - External


Color - EZ Clean Steel(Silver)



CONVENIENCE FEATURES



REMOVABLE RACK
Yes

DOOR ALARM
Yes


DEODORIZER
Yes



REFRIGERATOR COMPARTMENT FEATURES



GROSS REFRIGERATOR CAPACITY
257 L


REFRIGERATOR INTERIOR LIGHT
Yes


EGG TRAY
Yes


ADDITIONAL FEATURES
Number of Shelf (Total) - 3 EA


Shelf Material - Toughened Glass


Number of Vegetable&Fruit Drawer - 1 EA


Number of Door Pocket - 4 EA


Egg Container(Egg Tray) - Yes


Fresh room - Yes


Interior LED Light - LED


Big Guards - Yes



FREEZER COMPARTMENT FEATURES



GROSS FREEZER CAPACITY
88 L


FREEZER INTERIOR LIGHT
Yes


ICE CUBE TRAY TYPE
Twist


ADDITIONAL COMPARTMENT FEATURES
Shelf Material - Cool Pack


Number of Shelf (Total) - 1 EA


Number of Door Pocket - 2 EA



ADDITIONAL FEATURES



NET TOTAL CAPACITY
321 L



SALES PACKAGE



IN THE BOX
1x Refrigerator


1x Warranty Card


1x User Manual



WARRANTY



WARRANTY PERIOD
1 Year Manufacturer Warranty",79990,no rating,no review, https://cdn.sastodeal.com/catalog/product/n/e/new_project_7__5.jpg,Kitchen Appliences
9,9,Himstar Double Door Refrigerator HS 2783CBS,no description,50990,no rating,no review, https://cdn.sastodeal.com/catalog/product/n/e/new_project_7__5.jpg,Kitchen Appliences
10,10,Himstar Double Door Refrigerator 253 Ltr HS-2783CRM,no description,53990,no rating,no review, https://cdn.sastodeal.com/catalog/product/n/e/new_project_7__5.jpg,Kitchen Appliences
11,11,Himstar Double Door Refrigerator HS-2783BMS 253 Ltr,no description,50990,no rating,no review, https://cdn.sastodeal.com/catalog/product/n/e/new_project_7__5.jpg,Kitchen Appliences
12,12,Himstar Deep Freezer HC-45H450WSE/WB(Hard Top),"Hard Top
Fast Freezing
Upto -30º Tempreture
High Efficient Compressor
Energy Saving
Low Noise
Basket
Inner Sliding Glass Door
Plastic Coating Inner
Lock External Handle
Double Door",71990,no rating,no review, https://cdn.sastodeal.com/catalog/product/n/e/new_project_7__5.jpg,Kitchen Appliences
13,13,Samsung 700 L Side By Side Door Refrigerator Real Stainless RS74R5101SL/TL,no description,259990,no rating,no review, https://cdn.sastodeal.com/catalog/product/n/e/new_project_7__5.jpg,Kitchen Appliences
14,14,Samsung 676 Litres Frost Free Inverter Side-by-Side Door Refrigerator Space Max Technology RS72R5011SL/TL,no description,235990,no rating,no review, https://cdn.sastodeal.com/catalog/product/n/e/new_project_7__5.jpg,Kitchen Appliences
15,15,Samsung 551 L 3 Star Frost Free Double Door Refrigerator(RT56K6378SL/TL),no description,194990,no rating,no review, https://cdn.sastodeal.com/catalog/product/n/e/new_project_7__5.jpg,Kitchen Appliences
16,16,Samsung 523 L 3 Star Frost Free Double Door Refrigerator(RT54K6558SL/TL),no description,189990,no rating,no review, https://cdn.sastodeal.com/catalog/product/n/e/new_project_7__5.jpg,Kitchen Appliences
17,17,Samsung 478 L 2 Star Frost Free Double Door Refrigerator RT49K6338BS/TL Black inox,"Digital Inverter Technology

Works longer more quietly & uses less energyDigital Inverter Technology automatically adjusts the compressor speed in response to cooling demand across 7 levels. It uses less energy minimizes noise and reduces wear and tears for longer-lasting performance. * Based on internal testing compared with Samsungs conventional model.




Twin Cooling Plus

Moisture-Full Freshness all over the fridgeOnly Twin Cooling Plus™ creates a favorable environment for preserving fresh food in the fridge with 70% humidity compared to 30% in a conventional Frost Free Refrigerator. So it keeps ingredients fresh for longer without drying out.Deliciously tasty odor free frozen foodThe Twin Cooling Plus™ system cools the compartments separately to stop unexpected odors spreading from fridge to freezer. So frozen food retains more of its original flavor.








Convertible 5 Modes

Introducing world-first Smart Convertible 5-in-1 Refrigerator powered by Twin Cooling Plus™ technology that allows the freezer to convert into a fridge with five different mode options.Apart from Normal Mode this comes with Extra Fridge Mode which is perfect when there is a need for additional fridge space. So now if you bring home more bags home just convert your freezer into a fridge with Extra Fridge Mode.If you are going out on vacation & need to store some food in the freezer simply switch on Vacation Mode and keep only the freezer on & turn off the fridge section.With the change of season just switch to Seasonal Mode keep only the fridge on & switch off the freezer.When alone at home and dont have a lot to store just switch to Home Alone Mode that switches off the fridge and converts the freezer section into a fridge.And not only the 5 conversion modes are the perfect solution to different storage needs but every mode also saves energy giving more savings.*Section is in idle mode.




10 Year Warranty

Enjoy the peace of mind that comes with a 10-year warranty on the compressor of the Samsung refrigerator powered with Digital Inverter Technology.








Bar Handle

The stylish handle of the new collection is designed to lend a touch of glamour to your interiors and at the same time adds to your convenience.




Smart Connect Inverter (Automatic)

Now you can connect the refrigerator to your Home Inverter without any worries. Go ahead and enjoy uninterrupted cooling to keep your food fresh even during power cuts. Connect Inverter enables the refrigerator to work even when there is a power cut in the house and the refrigerator has switched to back up power.













 




 



Deodorizer

A built-in natural fiber Deodorizing Filter eliminates bad smells and preserves food’s original flavor and aroma for longer. Strong odors are removed as air is continually passed through activated carbon filters









Coolpack 12 Hours
 

The Cool Pack feature in the freezer of this Samsung refrigerator comes to the rescue during power outages. It keeps food frozen up to 12 hours* maintaining a temperature below 0 °C.*Result basis on Samsung internal lab test conditions. Individual results may vary.




Power Cool

Chill food 31%* faster with the Power Cool feature on this Samsung refrigerator. With a faster chill food will stay optimally fresh for longer and beverages will be quickly chilled.*Result basis on Samsung internal lab test conditions. Individual results may vary.






Power Freeze

Now never run out of ice cubes. The Power Freeze feature on this Samsung refrigerator allows up to 31%* faster ice making thus conveniently reducing the waiting time. Have ice cubes anytime with the push of a button.*Result basis on Samsung internal lab test conditions. Individual results may vary.




 






Anti-Bacteria Protector

Keeps air hygienically clean and freshAn Anti-Bacterial Protector keeps the fridge clean and hygienic. Air is passed through an Activated Carbon filter so it is constantly sterilized and deodorized while an anti-bacterial mesh eliminates bacteria.




Easy Slide Shelf

The Slide & Fold Shelf adds extra flexibility to your storage. It can be easily removed folded up or raised and lowered to fit in any sized items including large and bulky containers so there’s no wasted space.






Twist Ice Maker

Samsung Twist Ice Maker is easy to use. A simple twist is all you need to dispense ice cubes. Also Comparatively less freezer area means fast ice making which means you can have more ice cubes in a short time period.




2nd Veg Box

Keep small produce in the Crisper drawer*. This 2nd vegetable box along with Moist Fresh Zone allows you to store separate easily perishable soft texture produce like berries cherry tomatoes and mushrooms.






Multi Storage box

The Multi Storage Box provides a safe and separate place to store non-food items that need to be refrigerated such as cosmetics or medicines. Or use it to hold all your sauces and salad dressings. Since the box is detachable you can conveniently carry all your condiments to the table in one trip.




Fresh room

The Fresh Room is a cooler compartment that ensures freshness even if you frequently open the fridge door. It’s the ideal place to keep green salad and dairy food like cheese as they will stay fresher for longer.






Big Bottle Guard

Ideal for the thirsty household the Big Guard is deeper than shelves found in conventional refrigerators. So you can store big containers of milk and juice in the door along with two rows of beverage cans and bottles. The Big Guard is also great for chilling tall drinks bottles.




LED Light

The Samsung Refrigerators high efficiency and long-lasting LED lighting is slimmer brighter and more power-efficient than conventional lighting. Located on the top side of the refrigerator compartment it brilliantly illuminates every corner of the interior space so it is much easier to find what youre looking for.






Door Alarm

Now even if you forget to shut your refrigerator door the refrigerator is smart enough to alert you with its Fridge Door Alarm. So you dont have to incur extra electricity costs and theres no risk of food getting spoilt.




Lock & Key

You have the provision of keeping your refrigerator under lock and key if and when required. It could be to prevent your kids from sneaking out delicious pudding behind your back.",158990,no rating,no review, https://cdn.sastodeal.com/catalog/product/n/e/new_project_7__5.jpg,Kitchen Appliences
18,18,Samsung 465 L 2 Star Frost Free Double Door Refrigerator(RT47K6238UT/TL),"Digital Inverter Technology

Works longer more quietly & uses less energyDigital Inverter Technology automatically adjusts the compressor speed in response to cooling demand across 7 levels. It uses less energy minimizes noise and reduces wear and tears for longer-lasting performance. * Based on internal testing compared with Samsungs conventional model.




Twin Cooling Plus

Moisture-Full Freshness all over the fridgeOnly Twin Cooling Plus™ creates a favorable environment for preserving fresh food in the fridge with 70% humidity compared to 30% in a conventional Frost Free Refrigerator. So it keeps ingredients fresh for longer without drying out.Deliciously tasty odor free frozen foodThe Twin Cooling Plus™ system cools the compartments separately to stop unexpected odors spreading from fridge to freezer. So frozen food retains more of its original flavor.








Convertible 5 Modes

Introducing world-first Smart Convertible 5-in-1 Refrigerator powered by Twin Cooling Plus™ technology that allows the freezer to convert into a fridge with five different mode options.Apart from Normal Mode this comes with Extra Fridge Mode which is perfect when there is a need for additional fridge space. So now if you bring home more bags home just convert your freezer into a fridge with Extra Fridge Mode.If you are going out on vacation & need to store some food in the freezer simply switch on Vacation Mode and keep only the freezer on & turn off the fridge section.With the change of season just switch to Seasonal Mode keep only the fridge on & switch off the freezer.When alone at home and dont have a lot to store just switch to Home Alone Mode that switches off the fridge and converts the freezer section into a fridge.And not only the 5 conversion modes are the perfect solution to different storage needs but every mode also saves energy giving more savings.*Section is in idle mode.




10 Year Warranty

Enjoy the peace of mind that comes with a 10-year warranty on the compressor of the Samsung refrigerator powered with Digital Inverter Technology.








Recess Handle

The stylish handle of the new collection is designed to lend a touch of glamour to your interiors and at the same time adds to your convenience.




Smart Connect Inverter (Automatic)

Now you can connect the refrigerator to your Home Inverter without any worries. Go ahead and enjoy uninterrupted cooling to keep your food fresh even during power cuts. Connect Inverter enables the refrigerator to work even when there is a power cut in the house and the refrigerator has switched to back up power.













 




 



Deodorizer

A built-in natural fiber Deodorizing Filter eliminates bad smells and preserves food’s original flavor and aroma for longer. Strong odors are removed as air is continually passed through activated carbon filters









Coolpack 12 Hours
 

The Cool Pack feature in the freezer of this Samsung refrigerator comes to the rescue during power outages. It keeps food frozen up to 12 hours* maintaining a temperature below 0 °C.*Result basis on Samsung internal lab test conditions. Individual results may vary.




Power Cool

Chill food 31%* faster with the Power Cool feature on this Samsung refrigerator. With a faster chill food will stay optimally fresh for longer and beverages will be quickly chilled.*Result basis on Samsung internal lab test conditions. Individual results may vary.






Power Freeze

Now never run out of ice cubes. The Power Freeze feature on this Samsung refrigerator allows up to 31%* faster ice making thus conveniently reducing the waiting time. Have ice cubes anytime with the push of a button.*Result basis on Samsung internal lab test conditions. Individual results may vary.




 






 




Easy Slide Shelf

The Slide & Fold Shelf adds extra flexibility to your storage. It can be easily removed folded up or raised and lowered to fit in any sized items including large and bulky containers so there’s no wasted space.






Twist Ice Maker

Samsung Twist Ice Maker is easy to use. A simple twist is all you need to dispense ice cubes. Also Comparatively less freezer area means fast ice making which means you can have more ice cubes in a short time period.




2nd Veg Box

Keep small produce in the Crisper drawer*. This 2nd vegetable box along with Moist Fresh Zone allows you to store separate easily perishable soft texture produce like berries cherry tomatoes and mushrooms.






Multi Storage box

The Multi Storage Box provides a safe and separate place to store non-food items that need to be refrigerated such as cosmetics or medicines. Or use it to hold all your sauces and salad dressings. Since the box is detachable you can conveniently carry all your condiments to the table in one trip.




Fresh room

The Fresh Room is a cooler compartment that ensures freshness even if you frequently open the fridge door. It’s the ideal place to keep green salad and dairy food like cheese as they will stay fresher for longer.






Big Bottle Guard

Ideal for the thirsty household the Big Guard is deeper than shelves found in conventional refrigerators. So you can store big containers of milk and juice in the door along with two rows of beverage cans and bottles. The Big Guard is also great for chilling tall drinks bottles.




LED Light

The Samsung Refrigerators high efficiency and long-lasting LED lighting is slimmer brighter and more power-efficient than conventional lighting. Located on the top side of the refrigerator compartment it brilliantly illuminates every corner of the interior space so it is much easier to find what youre looking for.






Door Alarm

Now even if you forget to shut your refrigerator door the refrigerator is smart enough to alert you with its Fridge Door Alarm. So you dont have to incur extra electricity costs and theres no risk of food getting spoilt.




Lock & Key

You have the provision of keeping your refrigerator under lock and key if and when required. It could be to prevent your kids from sneaking out delicious pudding behind your back.",153990,no rating,no review, https://cdn.sastodeal.com/catalog/product/n/e/new_project_7__5.jpg,Kitchen Appliences
19,19,Samsung 465 L 3 Star Frost Free Double Door Refrigerator RT47K6358SL/TL,no description,153990,no rating,no review, https://cdn.sastodeal.com/catalog/product/n/e/new_project_7__5.jpg,Kitchen Appliences
20,20,Samsung 415 Liters 2 Star Frost Free Double Door Inverter Refrigerator (RT42M5538S8/TL),no description,141990,no rating,no review, https://cdn.sastodeal.com/catalog/product/7/_/7_63_1.jpg,Kitchen Appliences
21,21,Samsung Refrigerator Top Mount Freezer with Digital Inverter 275 L RT30K3342S8/IM,no description,65990,no rating,no review, https://cdn.sastodeal.com/catalog/product/7/_/7_63_1.jpg,Kitchen Appliences
22,22,Samsung 253 Ltr Double Door Refrigerator Rt28A32216U/Im,"Frost Free refrigerator
Robust compressor
High glossy finish
Toughened glass shelves
Transparent accessori",60990,no rating,no review, https://cdn.sastodeal.com/catalog/product/7/_/7_63_1.jpg,Kitchen Appliences
23,23,Samsung 253L Double Door Refrigerator RT28A32216R/IM,no description,60990,no rating,no review, https://cdn.sastodeal.com/catalog/product/7/_/7_63_1.jpg,Kitchen Appliences
24,24,Samsung RR24A272ZCR/IM 230 ltrs Single Door Refrigerator,"Capacity (Liters): 230 Liters
Toughened Glass Shelves
Run On Solar Energy
Run on Home Inverter

Cool Wave

Door Type: Single Door
1 year full warranty
5 years warranty on compressor",44490,no rating,no review, https://cdn.sastodeal.com/catalog/product/7/_/7_63_1.jpg,Kitchen Appliences
