,sku,title,description,price,rating,review,img5,categories
700,700,Lenovo V14 / Core I3 10Th Gen / 4Gb Ram / 1Tb Hdd / 14 Inch Display | Free Laptop bag and Mouse,Get Laptop Bag and Mouse Free.,56000,no rating,no review, https://cdn.sastodeal.com/catalog/product/18285/PNITS-SD-005/6.jpg,Laptop
701,701,"Lenovo IdeaPad Gaming L340 15 i5 9300H / GTX 1650 / 8GB RAM / 256GB SSD + 1TB HDD / 15.6"" FHD","Intel Core i5-9300H (2.40GHz up to 4.10GHz with Turbo Boost 4 cores 8MB Cache)
8GB DDR4 2400MHz SoDIMM
512 GB Solid State Drive M.2 PCIe-NVME
15.6"" FHD (1920 x 1080) IPS 250 nits anti-glare
NVIDIA GeForce GTX 1650 4GB
720p HD camera with dual microphones
Backlit Keyboard - US English
802.11 AC (1 x 1) & Bluetooth® 4.2
Windows 10 Home 64",108000,no rating,no review, https://cdn.sastodeal.com/catalog/product/18285/PNITS-SD-005/6.jpg,Laptop
702,702,"Lenovo Yoga C740 i5 10th Gen / 8GB RAM / 256GB SSD / 14"" FHD X 360 Touchscreen",Lenovo Yoga C740 2-in-1 Convertible Laptop i5 10th Gen Intel Core i5-10210U 8GB RAM 256GB SSD 14-inch FHD X 360 TouchScreen,105000,no rating,no review, https://cdn.sastodeal.com/catalog/product/18285/PNITS-SD-005/6.jpg,Laptop
703,703,"Acer Swift 3 2020 SF314-57G-560R i5 10th Gen / NVIDIA MX350 / 4GB RAM / 512 GB SSD / 14"" FHD Display",Acer Swift 3 2020 SF314-57G-560R Intel Core i5-1035G1 NVIDIA GeForce MX350 2GB Dedicated Graphics 4GB DDR4 RAM 512GB SSD 14-inch Full-HD Display Backlight Keyboard,93000,no rating,no review, https://cdn.sastodeal.com/catalog/product/18285/PNITS-SD-005/6.jpg,Laptop
704,704,"HP Laptop 15s-eq2122AU AMD Ryzen7-5700U DDR4 8GB RAM 512GB PCIe SSD AMD Radeon Graphics 15.6"" FHD Antiglare IPS Win10 Home Silver  (Free HP deskjet 1210)","Note:
i) If the logo on the bottom is torn warranty cannot be claimed ii) Any issues except for water or physical damage will be get repaired by the vendor. (Laptop wouldnt be changed)
Details of HP Deskjet 1210 

Connectivity







Ports


1 Hi-Speed USB 2.0




Wireless capability


No




Storage device and direct print support


Storage devices not supported









Environmental







Acoustic power emissions (active printing)


55 dB(A)




Recommended operating humidity range


20 to 80% RH




Non-Operating Humidity Range


5 to 90% RH (non-condensing)




Recommended operating temperature range (Celsius)


15 to 30°C




Storage temperature range (Celsius)


-40 to 60°C




Environmental specifications


None









Memory







Memory


Integrated









Mobile printing capability







Mobile printing services


Mobile Print Capability not supported









Paper handling







Input capacity


Up to 60 sheets




Standard input capacity (cards)


Up to 20 cards




Standard input capacity (envelopes)


Up to 5 envelopes




Output capacity


Up to 25 sheets




Media sizes supported (metric)


A4; B5; A6; DL envelope




Media sizes custom (metric)


89 x 127 to 215 x 279 mm




Media types


Plain paper Photo paper Brochure paper




Media weight supported (metric)


A4: 60 to 90 g/m²; HP envelopes: 75 to 90 g/m²; HP cards: up to 200 g/m²; HP 10 x 15 cm photo paper: up to 300 g/m²




Borderless printing


No








Details of Laptop




QUICK MEMORY:

8 GB


CAPACITY:
512 GB SSD


OPERATING SYSTEM:
Win 10


PROCESSOR:
AMD Ryzen ™


HARD TYPE:
SSD


SCREEN SIZE:
15.6 ""


SENSORY SCREEN:
NO


SCHEDULE CARD:
AMD Radeon ™






Processor
AMD Ryzen ™ 7 5700U (up to 4.3 GHz max boost clock 8 MB L3 cache 8 cores 16 threads)


Memory
4 GB DDR4-2666 SDRAM (1 x 4 GB)


Hard drive description
512 GB PCIe® NVMe ™ M.2 SSD


Display
39.62 cm (15.6 "") diagonal HD (1366 x 768) micro-edge BrightView 250 nits 45% NTSC


Graphics
AMD Radeon ™ Graphics


Ports
1 SuperSpeed ​​USB Type-C® 5Gbps signaling rate;2 SuperSpeed ​​USB Type-A 5Gbps signaling rate;1 HDMI 1.4b;1 AC smart pin;1 headphone / microphone combo


Expansion slots
1 multi-format SD media card reader


Audio features
Dual speakers


Webcam
HP TrueVision HD Camera with integrated dual array digital microphone


Keyboard
Full-size backlit natural silver keyboard with numeric keypad


 Network interface
Integrated 10/100/1000 GbE LAN


 Wireless
Realtek RTL8821CE 802.11a / b / g / n / ac (1x1) Wi-Fi® and Bluetooth® 4.2 combo


 Power supply type
65 W Smart AC power adapter",103000,no rating,no review, https://cdn.sastodeal.com/catalog/product/18285/PNITS-SD-005/6.jpg,Laptop
705,705,"HP LAPTOP 15S-DU3507TX Intel® Core™ i5-1135G7 8 GB DDR4-3200 MHz RAM 512 GB SSD 15.6"" (Free HP deskjet 1210)","Note:
i) If the logo on the bottom is torn warranty cannot be claimed ii) Any issues except for water or physical damage will be get repaired by the vendor. (Laptop wouldnt be changed)
Details of HP Deskjet 1210 

Connectivity







Ports


1 Hi-Speed USB 2.0




Wireless capability


No




Storage device and direct print support


Storage devices not supported









Environmental







Acoustic power emissions (active printing)


55 dB(A)




Recommended operating humidity range


20 to 80% RH




Non-Operating Humidity Range


5 to 90% RH (non-condensing)




Recommended operating temperature range (Celsius)


15 to 30°C




Storage temperature range (Celsius)


-40 to 60°C




Environmental specifications


None









Memory







Memory


Integrated









Mobile printing capability







Mobile printing services


Mobile Print Capability not supported









Paper handling







Input capacity


Up to 60 sheets




Standard input capacity (cards)


Up to 20 cards




Standard input capacity (envelopes)


Up to 5 envelopes




Output capacity


Up to 25 sheets




Media sizes supported (metric)


A4; B5; A6; DL envelope




Media sizes custom (metric)


89 x 127 to 215 x 279 mm




Media types


Plain paper Photo paper Brochure paper




Media weight supported (metric)


A4: 60 to 90 g/m²; HP envelopes: 75 to 90 g/m²; HP cards: up to 200 g/m²; HP 10 x 15 cm photo paper: up to 300 g/m²




Borderless printing


No








 
Details of Laptop:




Product number


49Y19PA




Product name


HP Laptop 15s-du3507TX




Microprocessor


Intel® Core™ i5-1135G7 (up to 4.2 GHz with Intel® Turbo Boost Technology 8 MB L3 cache 4 cores)




Chipset


Intel® Integrated SoC




Memory standard


8 GB DDR4-3200 MHz RAM (1 x 8 GB)




Video graphics


NVIDIA® GeForce® MX350 (2 GB GDDR5 dedicated)




Hard drive


512 GB PCIe® NVMe™ M.2 SSD




Optical drive


Optical drive not included




Display


39.6 cm (15.6"") diagonal FHD display




Wireless connectivity


Realtek RTL8821CE-M 802.11a/b/g/n/ac (1x1) Wi-Fi® and Bluetooth® 4.2 combo




Network interface


Integrated 10/100/1000 GbE LAN




Expansion slots


1 multi-format SD media card reader




External ports


1 SuperSpeed USB Type-C® 5Gbps signaling rate; 2 SuperSpeed USB Type-A 5Gbps signaling rate; 1 HDMI 1.4b; 1 RJ-45; 1 AC smart pin; 1 headphone/microphone combo




Minimum dimensions (W x D x H)


35.85 x 24.2 x 1.99 cm




Weight


Starting at 1.75 kg




Power supply type


65 W Smart AC power adapter




Battery type


3-cell 41 Wh Li-ion




Battery life mixed usage


Up to 6 hours and 30 minutes




Video Playback Battery life 


Up to 9 hours




Webcam


HP True Vision 720p HD camera with integrated dual array digital microphones




Audio features


Dual speakers",103500,no rating,no review, https://cdn.sastodeal.com/catalog/product/18285/PNITS-SD-005/6.jpg,Laptop
706,706,HP 15S -EQ2116AU AMD RYZEN 5 | 8GB | 512GB SSD | 15 Inch (Free HP deskjet 1210),"Note
i) If the logo on the bottom is torn warranty cannot be claimed ii) Any issues except for water or physical damage will be get repaired by the vendor. (Laptop wouldnt be changed)
Details of HP Deskjet 1210 

Connectivity







Ports


1 Hi-Speed USB 2.0




Wireless capability


No




Storage device and direct print support


Storage devices not supported









Environmental







Acoustic power emissions (active printing)


55 dB(A)




Recommended operating humidity range


20 to 80% RH




Non-Operating Humidity Range


5 to 90% RH (non-condensing)




Recommended operating temperature range (Celsius)


15 to 30°C




Storage temperature range (Celsius)


-40 to 60°C




Environmental specifications


None









Memory







Memory


Integrated









Mobile printing capability







Mobile printing services


Mobile Print Capability not supported









Paper handling







Input capacity


Up to 60 sheets




Standard input capacity (cards)


Up to 20 cards




Standard input capacity (envelopes)


Up to 5 envelopes




Output capacity


Up to 25 sheets




Media sizes supported (metric)


A4; B5; A6; DL envelope




Media sizes custom (metric)


89 x 127 to 215 x 279 mm




Media types


Plain paper Photo paper Brochure paper




Media weight supported (metric)


A4: 60 to 90 g/m²; HP envelopes: 75 to 90 g/m²; HP cards: up to 200 g/m²; HP 10 x 15 cm photo paper: up to 300 g/m²




Borderless printing


No",82000,no rating,no review, https://cdn.sastodeal.com/catalog/product/18285/PNITS-SD-005/6.jpg,Laptop
707,707,"HP LAPTOP 15S-EQ2110AU AMD Ryzen3-5300U DDR4 4GB RAM 256GB PCIe SSD 15.6"" FHD (Free HP deskjet 1210)","Note:
i) If the logo on the bottom is torn warranty cannot be claimed ii) Any issues except for water or physical damage will be get repaired by the vendor. (Laptop wouldnt be changed)
Details of HP Deskjet 1210 

Connectivity







Ports


1 Hi-Speed USB 2.0




Wireless capability


No




Storage device and direct print support


Storage devices not supported









Environmental







Acoustic power emissions (active printing)


55 dB(A)




Recommended operating humidity range


20 to 80% RH




Non-Operating Humidity Range


5 to 90% RH (non-condensing)




Recommended operating temperature range (Celsius)


15 to 30°C




Storage temperature range (Celsius)


-40 to 60°C




Environmental specifications


None









Memory







Memory


Integrated









Mobile printing capability







Mobile printing services


Mobile Print Capability not supported









Paper handling







Input capacity


Up to 60 sheets




Standard input capacity (cards)


Up to 20 cards




Standard input capacity (envelopes)


Up to 5 envelopes




Output capacity


Up to 25 sheets




Media sizes supported (metric)


A4; B5; A6; DL envelope




Media sizes custom (metric)


89 x 127 to 215 x 279 mm




Media types


Plain paper Photo paper Brochure paper




Media weight supported (metric)


A4: 60 to 90 g/m²; HP envelopes: 75 to 90 g/m²; HP cards: up to 200 g/m²; HP 10 x 15 cm photo paper: up to 300 g/m²




Borderless printing


No",69000,no rating,no review, https://cdn.sastodeal.com/catalog/product/18285/PNITS-SD-005/6.jpg,Laptop
708,708,"HP Laptop 15s-du1523TU  i3-10110U- 4GB-256GB SSD-15.6 "" HD-Intel UHD- Win10Home (Free HP deskjet 1210)","Design & Battery: Thin and light design | Laptop weight: 1.74 kg | Average battery life 7 hours 3-cell 41 Wh Li-ion Fast Charge Battery
Ports: 1 SuperSpeed USB Type-C (5Gbps) 2 SuperSpeed USB Type-A (5Gbps) 1 microSD card reader | Without CD-Drive
Display: 15.6-Inch FHD FHD IPS anti-glare micro-edge WLED-backlit 250 nits 45% NTSC (1920 x 1080)
Graphics: Intel UHD Integrated Graphics

Note:
i) If the logo on the bottom is torn warranty cannot be claimed ii) Any issues except for water or physical damage will be get repaired by the vendor. (Laptop wouldnt be changed)
Details of HP Deskjet 1210 

Connectivity







Ports


1 Hi-Speed USB 2.0




Wireless capability


No




Storage device and direct print support


Storage devices not supported









Environmental







Acoustic power emissions (active printing)


55 dB(A)




Recommended operating humidity range


20 to 80% RH




Non-Operating Humidity Range


5 to 90% RH (non-condensing)




Recommended operating temperature range (Celsius)


15 to 30°C




Storage temperature range (Celsius)


-40 to 60°C




Environmental specifications


None









Memory







Memory


Integrated









Mobile printing capability







Mobile printing services


Mobile Print Capability not supported









Paper handling







Input capacity


Up to 60 sheets




Standard input capacity (cards)


Up to 20 cards




Standard input capacity (envelopes)


Up to 5 envelopes




Output capacity


Up to 25 sheets




Media sizes supported (metric)


A4; B5; A6; DL envelope




Media sizes custom (metric)


89 x 127 to 215 x 279 mm




Media types


Plain paper Photo paper Brochure paper




Media weight supported (metric)


A4: 60 to 90 g/m²; HP envelopes: 75 to 90 g/m²; HP cards: up to 200 g/m²; HP 10 x 15 cm photo paper: up to 300 g/m²




Borderless printing


No",64000,no rating,no review, https://cdn.sastodeal.com/catalog/product/18285/PNITS-SD-005/6.jpg,Laptop
709,709,DELL Inspiron Ryzen 5 Quad Core 3450U - (8 GB/256 GB SSD/Windows 10) Inspiron 3515 Thin and Light Laptop,"General



Sales Package


Laptop battery adapter cables and user manuals




Model Number


Inspiron 3515




Part Number


D560520WIN9BE




Model Name


Inspiron 3515




Series


Inspiron




Color


Carbon




Type


Thin and Light Laptop




Suitable For


Everyday Use




Battery Backup


Upto 7 hours




Battery Cell


3 cell




MS Office Provided


Yes







Processor And Memory Features



Processor Brand


AMD




Processor Name


Ryzen 5 Quad Core




SSD


Yes




SSD Capacity


256 GB




RAM


8 GB




RAM Type


DDR4




Processor Variant


3450U




Clock Speed


2.1 GHz to max turbo frequency at 3.7 Ghz




Memory Slots


2




Expandable Memory


16GB




RAM Frequency


2666 MHz




Cache


4M




Graphic Processor


AMD Radeon Vega Graphics




Number of Cores


2







Operating System



OS Architecture


64 bit




Operating System


Windows 10




Supported Operating System


Windows 10







Port And Slot Features



Mic In


Yes




RJ45


Yes




USB Port


2 x USB 3.2 Gen 1 1 x USB2.0




HDMI Port


1x HDMI 1.4 port




Multi Card Slot


SD Media Card Reader (SD SDHC SDXC)




Hardware Interface


M.2 SATA







Display And Audio Features



Touchscreen


No




Screen Size


39.62 cm (15.6 inch)




Screen Resolution


1920 x 1080 Pixel




Screen Type


Full HD Anti Glare




Speakers


Yes




Internal Mic


Yes




Sound Properties


Waves Maxx Audio Pro







Connectivity Features



Wireless LAN


802.11ac




Bluetooth


v5.0




Ethernet


Available",78000,no rating,no review, https://cdn.sastodeal.com/catalog/product/18285/PNITS-SD-005/6.jpg,Laptop
