,Product Name,Prices,Ratings
0,"realme C31 (Light Silver, 64 GB)","₹9,999",4.6
1,"realme C31 (Dark Green, 64 GB)","₹9,999",4.6
2,"realme C31 (Dark Green, 32 GB)","₹8,999",4.7
3,"REDMI 9i Sport (Metallic Blue, 64 GB)","₹8,799",4.4
4,"REDMI 10 (Pacific Blue, 64 GB)","₹10,999",4.5
5,"POCO C31 (Shadow Gray, 64 GB)","₹8,999",4.4
6,"POCO C31 (Royal Blue, 32 GB)","₹7,999",4.4
7,"vivo T1 5G (Rainbow Fantasy, 128 GB)","₹16,990",4.4
8,"vivo T1 5G (Starlight Black, 128 GB)","₹16,990",4.4
9,"vivo T1 5G (Starlight Black, 128 GB)","₹15,990",4.3
10,"POCO M4 Pro 5G (Cool Blue, 128 GB)","₹16,999",4.4
11,"REDMI 10 (Midnight Black, 64 GB)","₹10,999",4.5
12,"POCO M4 Pro 5G (Cool Blue, 64 GB)","₹14,999",4.4
13,"REDMI 9i Sport (Coral Green, 64 GB)","₹8,799",4.4
14,"POCO M4 Pro 5G (Power Black, 128 GB)","₹16,999",4.4
15,"REDMI 10 (Caribbean Green, 64 GB)","₹10,999",4.5
16,"POCO X4 Pro 5G (Laser Black, 128 GB)","₹19,999",4.1
17,"REDMI 10 (Midnight Black, 128 GB)","₹12,999",4.2
18,"REDMI 10 (Pacific Blue, 128 GB)","₹12,999",4.2
19,"POCO M4 Pro 5G (Yellow, 64 GB)","₹14,999",4.4
20,"POCO M4 Pro 5G (Power Black, 64 GB)","₹14,999",4.4
21,"POCO M3 (Cool Blue, 128 GB)","₹14,990",4.3
22,"POCO C31 (Shadow Gray, 32 GB)","₹7,999",4.4
23,"realme C11 2021 (Cool Blue, 64 GB)","₹8,999",4.3
24,"realme C31 (Light Silver, 64 GB)","₹9,999",4.6
25,"realme C31 (Light Silver, 64 GB)","₹9,999",4.6
26,"realme C31 (Dark Green, 64 GB)","₹9,999",4.6
27,"realme C31 (Dark Green, 32 GB)","₹8,999",4.7
28,"REDMI 9i Sport (Metallic Blue, 64 GB)","₹8,799",4.4
29,"REDMI 10 (Pacific Blue, 64 GB)","₹10,999",4.5
30,"POCO C31 (Shadow Gray, 64 GB)","₹8,999",4.4
31,"POCO C31 (Royal Blue, 32 GB)","₹7,999",4.4
32,"vivo T1 5G (Rainbow Fantasy, 128 GB)","₹16,990",4.4
33,"vivo T1 5G (Starlight Black, 128 GB)","₹16,990",4.4
34,"vivo T1 5G (Starlight Black, 128 GB)","₹15,990",4.3
35,"POCO M4 Pro 5G (Cool Blue, 128 GB)","₹16,999",4.4
36,"REDMI 10 (Midnight Black, 64 GB)","₹10,999",4.5
37,"POCO M4 Pro 5G (Cool Blue, 64 GB)","₹14,999",4.4
38,"REDMI 9i Sport (Coral Green, 64 GB)","₹8,799",4.4
39,"POCO M4 Pro 5G (Power Black, 128 GB)","₹16,999",4.4
40,"REDMI 10 (Caribbean Green, 64 GB)","₹10,999",4.5
41,"POCO X4 Pro 5G (Laser Black, 128 GB)","₹19,999",4.1
42,"REDMI 10 (Midnight Black, 128 GB)","₹12,999",4.2
43,"REDMI 10 (Pacific Blue, 128 GB)","₹12,999",4.2
44,"POCO M4 Pro 5G (Yellow, 64 GB)","₹14,999",4.4
45,"POCO M4 Pro 5G (Power Black, 64 GB)","₹14,999",4.4
46,"POCO M3 (Cool Blue, 128 GB)","₹14,990",4.3
47,"POCO C31 (Shadow Gray, 32 GB)","₹7,999",4.4
48,"realme C11 2021 (Cool Blue, 64 GB)","₹8,999",4.3
